StateAbbrev,NCESSchoolID,SchoolName,share_inperson,share_hybrid,share_virtual,StateAssignedDistrictID
AK,20000100206,Joann A. Alexie Memorial School,.097847357,0,.90215266,31
AK,20000100207,Gladys Jung Elementary,.092968524,0,.90703148,31
AK,20000100208,Bethel Regional High School,.097011954,.097211152,.80577689,31
AK,20000100209,Chaputnguak School,0,0,1,31
AK,20000100210,Chief Paul Memorial School,0,0,1,31
AK,20000100211,Ayaginaar Elitnaurvik,.10090634,0,.89909363,31
AK,20000100212,Kwigillingok School,.097959183,0,.90204084,31
AK,20000100213,Nelson Island Area School,.098442711,0,.90155727,31
AK,20000100214,Anna Tobeluk Memorial School,.099268548,.099268548,.80146289,31
AK,20000100215,Arviq School,.18181819,0,.81818181,31
AK,20000100318,Kuskokwim Learning Academy,.080459774,0,.91954023,31
AK,20000100329,Ayaprun Elitnaurvik,.098600931,.098600931,.80279815,31
AK,20000100389,Paul T. Albert Memorial School,.098911069,0,.90108895,31
AK,20000100391,Akula Elitnaurvik School,0,0,1,31
AK,20000100392,Eek School,.10016978,.20033956,.69949067,31
AK,20000100406,Lewis Angapak Memorial School,.1,0,.89999998,31
AK,20000100408,Nuniwarmiut School,.20366599,.10183299,.69450104,31
AK,20000100409,William Miller Memorial School,.097137012,0,.90286297,31
AK,20000100436,Mikelnguut Elitnaurviat,.098265894,.19978324,.70195085,31
AK,20000100438,Ketacik/Aapalluk Memorial School,.093023255,.19012648,.71685028,31
AK,20000100439,Z. John Williams Memorial School,.19726422,0,.80273581,31
AK,20000100440,Ayaprun School,.094879515,.096385539,.80873495,31
AK,20000100441,Kuinerrarmiut Elitnaurviat,.099555552,.20133333,.6991111,31
AK,20000100474,Negtemiut Elitnaurviat School,.098196395,0,.90180361,31
AK,20000100475,Qugcuun Memorial School,.1928934,0,.80710661,31
AK,20000100476,Rocky Mountain School,.10329986,.205165,.69153517,31
AK,20000100619,Akiuk Memorial School,0,.19917013,.80082989,31
AK,20000100620,Bethel Youth Facility,1,0,0,31
AK,20000100765,Mertarvik School,.094444446,0,.90555555,31
AK,20000300216,Alakanuk School,.19793014,.30444157,.4976283,32
AK,20000300217,Emmonak School,.19555183,.3038187,.50062948,32
AK,20000300218,Marshall School,0,.4988662,.5011338,32
AK,20000300219,Hooper Bay School,0,.19890352,.8010965,32
AK,20000300220,Mountain Village School,0,0,1,32
AK,20000300222,Russian Mission School,0,.50605142,.49394855,32
AK,20000300410,Pilot Station School,0,.29556412,.70443588,32
AK,20000300411,Kotlik School,0,.49911401,.50088602,32
AK,20000300412,Scammon Bay School,.19687092,0,.80312908,32
AK,20000300413,Nunam Iqua School,.30165914,.20060332,.49773756,32
AK,20000300767,Hooper Bay Charter School,0,.40492171,.59507829,32
AK,20000400579,Akiachak School,0,.50094342,.49905661,54
AK,20000400623,Tuluksak School,0,.42347345,.57652658,54
AK,20000400624,Akiak School,0,.59917068,.40082932,54
AK,20000500582,Chevak School,.3990238,.10128127,.49969494,55
AK,20000600558,Mt. Edgecumbe High School,1,0,0,98
AK,20000700004,Akutan School,1,0,0,56
AK,20000700007,False Pass School,1,0,0,56
AK,20000700177,King Cove School,1,0,0,56
AK,20000700461,Sand Point School,1,0,0,56
AK,20001000005,Yakov E. Netsvetov School,1,0,0,4
AK,20001000080,Adak School,1,0,0,4
AK,20002000012,Gambell School,.8054021,0,.19459791,7
AK,20002000013,Koyuk-Malimiut School,.90969163,0,.090308368,7
AK,20002000014,Hogarth Kingeekuk Sr. Memorial School,.80291969,.10047231,.096607983,7
AK,20002000015,Shishmaref School,.90596455,0,.094035462,7
AK,20002000016,James C. Isabell School,.90718955,0,.092810459,7
AK,20002000017,Unalakleet School,.90544111,0,.094558902,7
AK,20002000018,Wales School,.9098143,0,.090185679,7
AK,20002000019,White Mountain School,.9128114,0,.087188609,7
AK,20002000421,Aniguiin School,.90684253,0,.093157463,7
AK,20002000422,Martin L. Olson School,.90140843,0,.098591551,7
AK,20002000423,Brevig Mission School,.90429688,0,.095703125,7
AK,20002000466,Shaktoolik School,.90339428,0,.09660574,7
AK,20002000467,Anthony A. Andrews School,.90396237,0,.096037611,7
AK,20002000468,Tukurngailnguq School,.61828512,0,.38171488,7
AK,20002000499,Diomede School,.90857142,0,.09142857,7
AK,20003000020,Bristol Bay Middle/High School,.3842482,0,.6157518,8
AK,20003000626,Naknek Elementary,.39629006,0,.60370994,8
AK,20005000023,Alaska REACH Academy,1,0,0,3
AK,20005000024,Dot Lake School,1,0,0,3
AK,20005000025,Eagle Community School,1,0,0,3
AK,20005000026,Mentasta Lake School,1,0,0,3
AK,20005000027,Walter Northway School,.89885497,0,.10114504,3
AK,20005000028,Tok School,.9019025,0,.098097503,3
AK,20005000424,Tanacross School,1,0,0,3
AK,20005000528,Tetlin School,1,0,0,3
AK,20006000029,Cordova Jr/Sr High School,.88650042,0,.11349957,12
AK,20006000627,Mt. Eccles Elementary,.88780487,0,.11219512,12
AK,20006000750,Cordova School District Innovative Learning,.90163934,0,.098360658,12
AK,20007000034,Glennallen Elementary,1,0,0,11
AK,20007000036,Kenny Lake School,1,0,0,11
AK,20007000039,Glennallen Jr/Sr High School,1,0,0,11
AK,20007000583,Slana School,1,0,0,11
AK,20009000038,Craig High School,.90865386,0,.091346152,13
AK,20009000433,Craig Middle School,.9112426,0,.088757396,13
AK,20009000629,Craig Elementary,.90938509,0,.090614885,13
AK,20010000559,Delta Junction Elementary,.80963045,0,.19036955,14
AK,20010000630,Delta Junction Senior High School,.80459768,0,.19540229,14
AK,20010000764,Delta Junction Junior High School,.81132078,0,.18867925,14
AK,20012000042,Dillingham Elementary,.70227921,0,.29772079,15
AK,20012000634,Dillingham Middle/High School,.69898897,0,.30101103,15
AK,20013000044,Sidney C. Huntington Elementary,1,0,0,17
AK,20013000252,Galena Interior Learning Academy (GILA),.79371315,0,.20628683,17
AK,20013000635,Sidney C. Huntington Jr/Sr High School,1,0,0,17
AK,20015000046,Houghtaling Elementary,1,0,0,25
AK,20015000047,Ketchikan High School,.72757584,.27242413,0,25
AK,20015000048,Revilla Jr/Sr High School,.72666109,.27333894,0,25
AK,20015000050,Schoenbar Middle School,.72861153,.2713885,0,25
AK,20015000052,Fawn Mountain Elementary,1,0,0,25
AK,20015000306,Ketchikan Charter School,1,0,0,25
AK,20015000523,Tongass School of Arts and Sciences Charter School,1,0,0,25
AK,20015000584,Point Higgins School,1,0,0,25
AK,20018000053,Abbott Loop Elementary,.40097526,0,.59902477,5
AK,20018000054,Airport Heights Elementary,.4091433,0,.59085673,5
AK,20018000056,Aurora Elementary,.38597137,0,.61402863,5
AK,20018000057,Bartlett High School,0,0,1,5
AK,20018000058,Baxter Elementary,.38915095,0,.61084908,5
AK,20018000059,Bayshore Elementary,.40207028,0,.59792972,5
AK,20018000060,Birchwood ABC Elementary,.39823717,0,.60176283,5
AK,20018000062,Campbell STEM Elementary,.40091464,0,.59908539,5
AK,20018000063,Central Middle School of Science,0,0,1,5
AK,20018000064,Clark Middle School,0,0,1,5
AK,20018000065,Chester Valley Elementary,.39755714,0,.60244286,5
AK,20018000066,Chinook Elementary,.40518284,0,.59481716,5
AK,20018000067,Chugach Optional Elementary,.39451829,0,.60548174,5
AK,20018000068,Chugiak Elementary,.39081112,0,.60918885,5
AK,20018000069,Chugiak High School,0,0,1,5
AK,20018000070,College Gate Elementary,.38926908,0,.61073089,5
AK,20018000071,Creekside Park Elementary,.39915758,0,.60084242,5
AK,20018000072,Denali Montessori Elementary,.38943553,0,.61056447,5
